,search-city,search-key,company,phno,actual-address,actual-tags
72,Mumbai,textile-manufacturer,"Vardhman Yarns & Threads Limited in Andheri East, Mumbai",+(91)-22-40235634,"Gala No G7/G14 & B12/ B14 Solaris Building No 2, Universal I, Saki Vihar Road, Andheri East, Mumbai - 400072, Sakinaka","Textile Manufacturers, Embroidery Thread Manufacturers, .."
73,Mumbai,textile-manufacturer,"Siddhachal Textile Pvt Ltd in Bhandup West, Mumbai",+(91)-022-25960011,"300 B, 3rd Floor, R R Realty Building, Lbs Marg, Bhandup West, Mumbai - 400078, Near Tank Road Corner","Fabric Manufacturers, Cotton Fabric Manufacturers, .."
74,Mumbai,textile-manufacturer,"Shree Ram Mills Ltd in Lower Parel, Mumbai",+(91)-022-61404900,"G Kadam Marg, Lower Parel, Mumbai - 400013","Textile Manufacturers, Textile Retailers"
75,Mumbai,textile-manufacturer,"Staubli India Pvt Ltd in Andheri East, Mumbai",+(91)-22-28235480,"Staubli House Plot No 55, MIDC Industrial Area, Road No 15/17, Andheri East, Mumbai - 400093, Near Tara Jewellery","Textile Manufacturers, Textile Retailers, .."
76,Mumbai,textile-manufacturer,"New Man Mandir in Malad West, Mumbai",+(91)-22-28882476,"Shop No 1, S V Road, Malad West, Mumbai - 400064, Opposite Nataraj Market  Shoppng Centre","Readymade Garment Retailers, Textile Manufacturers, .."
77,Mumbai,textile-manufacturer,"Oriental Weaving  & Processing Mill Pvt Ltd in Turbhe Midc, Mumbai",+(91)-22-27683332,"D64 TTC MIDC Turbhe, Turbhe Midc, Navi Mumbai - 400703, Near Ganesh Temple","Fabric Manufacturers, Cotton Fabric Manufacturers, .."
78,Mumbai,textile-manufacturer,"Tessitura Monti India Pvt Ltd in Andheri East, Mumbai",+(91)-22-26846961,"401 Trade Avenue, Suren Road, Andheri East, Mumbai - 400059, Near Cinemax Cinema","Textile Manufacturers, Textile Industries, .."
79,Mumbai,textile-manufacturer,"Velcord Textiles in Mira Road, Mumbai",+(91)-022-32958655,"Plot No 23, Mira Co Operative Industrial Estate, Mira Road, Thane - 401107, Near Kashi Mira","Fabric Manufacturers, Textile Processing, .."
80,Mumbai,textile-manufacturer,"Podar Mills Ltd in Chinchpokli, Mumbai",+(91)-022-23099663,"N M Joshi Marg, Belasil Road, Chinchpokli, Mumbai - 400011","Textile Manufacturers, Yarn Manufacturers, .."
81,Mumbai,textile-manufacturer,"Valiant Glass Works Pvt Ltd in Kalbadevi, Mumbai",+(91)-22-40542202,"384-M, 5th Floor,, Kalbadevi Rd, Kalbadevi, Mumbai - 400002, Dabholkar Wadi","Fabric Manufacturers, Furnishing Retailers, .."
82,Mumbai,textile-manufacturer,"G M Syntex Pvt Ltd in Andheri East, Mumbai",+(91)-22-61559898,"Dhana Singh Process Compound, Andheri Kurla Road, Andheri East, Mumbai - 400059, Near Kotak Mahindra Bank,Vajul Glass Company","Textile Manufacturers, Textile Exporters"
83,Mumbai,textile-manufacturer,"Kusumgar Corporates Pvt Ltd in Vile Parle West, Mumbai",+(91)-22-26184341,"101, Manjushree, V M Road, Vile Parle West, Mumbai - 400056, Jvpd Scheme",Textile Manufacturers
84,Mumbai,textile-manufacturer,"Santogen Silk Mills LTD in Andheri East, Mumbai",+(91)-22-66790495,"A/69, MIDC Road, Andheri East, Mumbai - 400093, Behind Tunga International Hotel","Women Kurti Manufacturers, Textile Manufacturers, .."
85,Mumbai,textile-manufacturer,"Sutlej Textiles & Industries Ltd in Andheri East, Mumbai",+(91)-22-28573707,"No 1, B/242, 2nd Floor, Solaris Building, Solaris Complex, Saki Vihar Road, Andheri East, Mumbai - 400072, Powai","Fabric Retailers, Textile Manufacturers, .."
86,Mumbai,textile-manufacturer,"Shree Arvind Silk Mills in Andheri East, Mumbai",+(91)-9833121392,"Gala No 6 2nd Floor Natha Line Industrial Estate, Andheri Kurla Road, Andheri East, Mumbai - 400072, Above Purohit Steel Opposite Vijay Print","T Shirt Manufacturers, Textile Manufacturers, .."
87,Mumbai,textile-manufacturer,"D C Silk Mills Pvt Ltd in Andheri East, Mumbai",+(91)-22-28341776,"Chunawala Estate, Kondivita Road, Andheri East, Mumbai - 400059, Near Hotel Kohinoor Continental","Textile Manufacturers, Silk Manufacturers"
88,Mumbai,textile-manufacturer,"Somani Silk Mill in Kalbadevi, Mumbai",+(91)-22-32404632,"384k Dhabolkar Wadi, Ground Floor, Kalbadevi Road, Kalbadevi, Mumbai - 400002, Near Kalabadevi Temple","Fabric Wholesalers, Textile Manufacturers, .."
